Date, Num Users
2020-06-19,18436
2020-06-20,18448
2020-06-21,18357
2020-06-22,18261
2020-06-23,18369
2020-06-24,18387
2020-06-25,18394
2020-06-26,18400
2020-06-27,18414
2020-06-28,18431
2020-06-29,18449
2020-06-30,18474
2020-07-01,18596
2020-07-02,18608
2020-07-03,18605
2020-07-04,18608
2020-07-05,18621
2020-07-06,18631
2020-07-07,18653
2020-07-08,18675
2020-07-09,18694
2020-07-10,18705
2020-07-11,18716
2020-07-12,18728
2020-07-13,18627
2020-07-14,18643
2020-07-15,18538
2020-07-16,18562
2020-07-17,18588
2020-07-18,18624
2020-07-19,18640
2020-07-20,18652
2020-07-21,18677
2020-07-22,18695
2020-07-23,18704
2020-07-24,18728
2020-07-25,18748
2020-07-26,18754
2020-07-27,18644
2020-07-28,18653
2020-07-29,18670
2020-07-30,18667
2020-07-31,18669
2020-08-01,18683
2020-08-02,18686
2020-08-03,18703
2020-08-04,18699
2020-08-05,18719
2020-08-06,18734
2020-08-07,18743
2020-08-08,18708
2020-08-09,18723
2020-08-10,18740
2020-08-11,18755
2020-08-12,18771
2020-08-13,18782
2020-08-14,18791
2020-08-15,18801
2020-08-16,18816
2020-08-17,18721
2020-08-18,18738
2020-08-19,18759
2020-08-20,18659
2020-08-21,18675
2020-08-22,18669
2020-08-23,18677
2020-08-24,18683
2020-08-25,18696
2020-08-26,18709
2020-08-27,18728
2020-08-28,18844
2020-08-29,18862
2020-08-30,18874
2020-08-31,18888
2020-09-01,18653
2020-09-02,18664
2020-09-03,18681
2020-09-04,18697
2020-09-05,18707
2020-09-06,18717
2020-09-07,18730
2020-09-08,18743
2020-09-09,18752
2020-09-10,18776
2020-09-11,18779
2020-09-12,18792
2020-09-13,18803
2020-09-14,18816
2020-09-15,18830
2020-09-16,18846
2020-09-17,18858
2020-09-18,18868
2020-09-19,18998
2020-09-20,19003
2020-09-21,19016
2020-09-22,19041
2020-09-23,19056
2020-09-24,19058
2020-09-25,19073
2020-09-26,19085
2020-09-27,19095
2020-09-28,18984
2020-09-29,18998
2020-09-30,19008
2020-10-01,18899
2020-10-02,18906
2020-10-03,18915
2020-10-04,18917
2020-10-05,18923
2020-10-06,18811
2020-10-07,18823
2020-10-08,18839
2020-10-09,18850
2020-10-10,18863
2020-10-11,18868
2020-10-12,18880
2020-10-13,18900
2020-10-14,18921
2020-10-15,18939
2020-10-16,18947
2020-10-17,18961
2020-10-18,18974
2020-10-19,18990
2020-10-20,19000
2020-10-21,19016
2020-10-22,19031
2020-10-23,19048
2020-10-24,18944
2020-10-25,18950
2020-10-26,18845
2020-10-27,18761
2020-10-28,18772
2020-10-29,18684
2020-10-30,18692
2020-10-31,18704
2020-11-01,18713
2020-11-02,18726
2020-11-03,18746
2020-11-04,18755
2020-11-05,18759
2020-11-06,18775
2020-11-07,18783
2020-11-08,18793
2020-11-09,18807
2020-11-10,18818
2020-11-11,18724
2020-11-12,18734
2020-11-13,18752
2020-11-14,18760
2020-11-15,18764
2020-11-16,18669
2020-11-17,18681
2020-11-18,18693
2020-11-19,18711
2020-11-20,18727
2020-11-21,18741
2020-11-22,18752
2020-11-23,18763
2020-11-24,18776
2020-11-25,18791
2020-11-26,18800
2020-11-27,18810
2020-11-28,18823
2020-11-29,18830
2020-11-30,18843
2020-12-01,18854
2020-12-02,18868
2020-12-03,18891
2020-12-04,18903
2020-12-05,18911
2020-12-06,18926
2020-12-07,18937
2020-12-08,19274
2020-12-09,18958
2020-12-10,18977
2020-12-11,18995
2020-12-12,19009
2020-12-13,19008
2020-12-14,19023
2020-12-15,19035
2020-12-16,19053
2020-12-17,19068
2020-12-18,18960
2020-12-19,18982
2020-12-20,18989
2020-12-21,18999
2020-12-22,19022
2020-12-23,19027
2020-12-24,19038
2020-12-25,19050
2020-12-26,19059
2020-12-27,19069
2020-12-28,19079
2020-12-29,18976
2020-12-30,18992
