Date,Stars
2020-12-09,397
2020-12-10,397
2020-12-11,397
2020-12-12,397
2020-12-13,397
2020-12-14,397
2020-12-15,397
2020-12-16,397
2020-12-17,398
2020-12-18,398
2020-12-19,398
2020-12-20,400
2020-12-21,400
2020-12-22,400
2020-12-23,400
2020-12-24,400
2020-12-25,401
2020-12-26,402
2020-12-27,402
2020-12-28,402
2020-12-29,402
2020-12-30,402
2020-12-31,403
2021-01-01,403
2021-01-02,404
2021-01-03,404
2021-01-04,404
2021-01-05,404
2021-01-06,405
2021-01-07,406
2021-01-08,406
2021-01-09,406
2021-01-10,406
2021-01-11,406
2021-01-12,406
2021-01-13,406
2021-01-14,406
2021-01-15,406
2021-01-16,407
2021-01-17,407
2021-01-18,407
2021-01-19,407
2021-01-20,407
2021-01-21,412
2021-01-22,412
2021-01-23,413
2021-01-24,413
2021-01-25,413
2021-01-26,413
2021-01-27,414
2021-01-28,414
2021-01-29,414
2021-01-30,414
2021-01-31,414
2021-02-01,414
2021-02-02,414
2021-02-03,414
2021-02-04,414
2021-02-05,414
2021-02-06,414
2021-02-07,414
2021-02-08,414
2021-02-09,415
2021-02-10,415
2021-02-11,415
2021-02-12,415
2021-02-13,415
2021-02-14,415
2021-02-15,414
2021-02-16,415
2021-02-17,415
2021-02-18,415
2021-02-19,418
2021-02-20,418
2021-02-21,418
2021-02-22,418
2021-02-23,419
2021-02-24,420
2021-02-25,420
2021-02-26,420
2021-02-27,420
2021-02-28,420
2021-03-01,420
2021-03-02,419
2021-03-03,420
2021-03-04,420
2021-03-05,420
2021-03-06,420
2021-03-07,420
2021-03-08,420
2021-03-09,421
2021-03-10,421
2021-03-11,421
2021-03-12,421
2021-03-13,421
2021-03-14,422
2021-03-15,422
2021-03-16,422
2021-03-17,422
2021-03-18,424
2021-03-19,425
2021-03-20,425
2021-03-21,424
2021-03-22,425
2021-03-23,425
2021-03-24,425
2021-03-25,426
2021-03-26,426
2021-03-27,426
2021-03-28,425
2021-03-29,425
2021-03-30,425
2021-03-31,425
2021-04-01,425
2021-04-02,425
2021-04-03,425
2021-04-04,425
2021-04-05,425
2021-04-06,425
2021-04-07,425
2021-04-08,425
2021-04-09,425
2021-04-10,425
2021-04-11,426
2021-04-12,426
2021-04-13,426
2021-04-14,427
2021-04-15,427
2021-04-16,426
2021-04-17,426
2021-04-18,426
2021-04-19,426
2021-04-20,427
2021-04-21,427
2021-04-22,427
2021-04-23,427
2021-04-24,427
2021-04-25,427
2021-04-26,427
2021-04-27,427
2021-04-28,427
2021-04-29,427
2021-04-30,427
2021-05-01,427
2021-05-02,427
2021-05-03,427
2021-05-04,428
2021-05-05,428
2021-05-06,428
2021-05-07,428
2021-05-08,428
2021-05-09,428
2021-05-10,428
2021-05-11,428
2021-05-12,428
2021-05-13,428
2021-05-14,428
2021-05-15,428
2021-05-16,428
2021-05-17,428
2021-05-18,428
2021-05-19,429
2021-05-20,429
2021-05-21,429
2021-05-22,429
2021-05-23,429
2021-05-24,429
2021-05-25,431
2021-05-26,431
2021-05-27,431
2021-05-28,431
2021-05-29,432
2021-05-30,432
2021-05-31,432
2021-06-01,432
2021-06-02,433
2021-06-03,433
2021-06-04,433
2021-06-05,432
2021-06-06,432
2021-06-07,432
2021-06-08,432
2021-06-09,431
2021-06-10,431
2021-06-11,431
2021-06-12,431
2021-06-13,431
2021-06-14,432
2021-06-15,432
2021-06-16,432
2021-06-17,432
2021-06-18,432
2021-06-19,432
2021-06-20,432
2021-06-21,432
2021-06-22,432
2021-06-23,432
2021-06-24,432
2021-06-25,432
2021-06-26,432
2021-06-27,432
2021-06-28,432
2021-06-29,432
2021-06-30,433
2021-07-01,434
2021-07-02,434
2021-07-03,434
2021-07-04,434
2021-07-05,434
2021-07-06,434
2021-07-07,434
2021-07-08,434
2021-07-09,434
2021-07-10,434
2021-07-11,434
2021-07-12,434
2021-07-13,436
2021-07-14,436
2021-07-15,435
2021-07-16,436
2021-07-17,436
2021-07-18,436
2021-07-19,436
2021-07-20,436
2021-07-21,436
2021-07-22,436
2021-07-23,436
2021-07-24,436
2021-07-25,436
2021-07-26,436
2021-07-27,436
2021-07-28,436
2021-07-29,436
2021-07-30,436
2021-07-31,435
2021-08-01,435
2021-08-02,435
2021-08-03,435
2021-08-04,436
2021-08-05,436
2021-08-06,436
2021-08-07,435
2021-08-08,435
2021-08-09,435
2021-08-10,435
2021-08-11,435
2021-08-12,435
2021-08-13,435
2021-08-14,435
2021-08-15,435
2021-08-16,435
2021-08-17,435
2021-08-18,435
2021-08-19,435
2021-08-20,435
2021-08-21,435
2021-08-22,435
2021-08-23,435
2021-08-24,435
2021-08-25,435
2021-08-26,437
2021-08-27,438
2021-08-28,438
2021-08-29,438
2021-08-30,438
2021-08-31,438
2021-09-01,438
2021-09-02,438
2021-09-03,438
2021-09-04,438
2021-09-05,438
2021-09-06,440
2021-09-07,440
2021-09-08,440
2021-09-09,440
2021-09-10,440
2021-09-11,440
2021-09-12,440
2021-09-13,440
2021-09-14,440
2021-09-15,440
2021-09-16,440
2021-09-17,440
2021-09-18,440
2021-09-19,440
2021-09-20,440
2021-09-21,440
2021-09-22,440
2021-09-23,440
2021-09-24,440
2021-09-25,440
2021-09-26,440
2021-09-27,440
2021-09-28,440
2021-09-29,440
2021-09-30,440
2021-10-01,440
2021-10-02,440
2021-10-03,440
2021-10-04,440
2021-10-05,440
2021-10-06,440
2021-10-07,440
2021-10-08,440
2021-10-09,440
2021-10-10,440
2021-10-11,440
2021-10-12,440
2021-10-13,440
2021-10-14,440
2021-10-15,440
2021-10-16,440
2021-10-17,440
2021-10-18,440
2021-10-19,440
2021-10-20,440
2021-10-21,440
2021-10-22,440
2021-10-23,440
2021-10-24,440
2021-10-25,440
2021-10-26,440
2021-10-27,440
2021-10-28,440
2021-10-29,440
2021-10-30,440
2021-10-31,440
2021-11-01,440
2021-11-02,440
2021-11-03,440
2021-11-04,440
2021-11-05,440
2021-11-06,440
2021-11-07,440
2021-11-08,440
2021-11-09,441
2021-11-10,442
2021-11-11,442
2021-11-12,442
2021-11-13,442
2021-11-14,442
2021-11-15,442
2021-11-16,442
2021-11-17,442
2021-11-18,441
2021-11-19,440
2021-11-20,440
2021-11-21,440
2021-11-22,440
2021-11-23,440
2021-11-24,440
2021-11-25,441
2021-11-26,441
2021-11-27,441
2021-11-28,441
2021-11-29,441
2021-11-30,441
2021-12-01,441
2021-12-02,442
2021-12-03,442
2021-12-04,442
2021-12-05,442
2021-12-06,443
2021-12-07,444
2021-12-08,444
2021-12-09,444
2021-12-10,444
2021-12-11,444
2021-12-12,444
2021-12-13,446
